fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging,
NOTE4/ The great tragedy of Mueller's Reportalong with folks missing Mueller saying all counterintelligence had been sent elsewhereeveryone ignoring the part in which Mueller says witnesses lied to him and withheld evidence and his report is therefore just the best he could do.,278,43,1,23,19,1,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""VBN#NN"": 1, ""NP#CC#NP"": 1, ""NP#SBAR"": 2, ""RB#DT#JJS"": 1}, ""WHNP"": {""WDT"": 1}, ""WHPP"": {""IN#WHNP"": 1}, ""VP"": {""VBD#PP"": 1, ""VBZ#SBAR"": 1, ""VBG#NP"": 1, ""VBN#NP#S"": 1, ""VBN#VP"": 1, ""VBD#VP"": 1, ""VB"": 1, ""MD#VP"": 1, ""VBZ#ADVP#NP"": 1, ""VBG#S"": 2, ""VBG#PP#S"": 1, ""VBZ#VP"": 1}, ""S"": {""S#CC#S"": 1}, ""SBAR"": {""S"": 2, ""WHPP#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.208,0.647,0.145,"{""P"": 5, ""D"": 6, ""A"": 2, ""N"": 7, ""Z"": 1, ""V"": 13, ""^"": 3, ""O"": 2, ""&"": 2, ""R"": 2, "","": 1}","['{""P"": 5, ""D"": 6, ""A"": 2, ""N"": 7, ""Z"": 1, ""V"": 13, ""^"": 3, ""O"": 2, ""&"": 2, ""R"": 2, "","": 1}']"
"NOTE3/ Congress now needs to talk to Dearborn because Mashburn already talked to them and to Mueller, and appeared to have confidence in his testimony. Dearborn may still have only communicated through his attorney. So now Congress needs Dearborn (and, again, Don Jr.) under oath.",280,45,1,21,19,1,0,0,0,0,,"{""NP"": {""NP#PRN"": 1}, ""PP"": {""PP#CC#PP"": 1}, ""VP"": {""ADVP#VBD#PP"": 1, ""VBD#S"": 1, ""VP#,#CC#VP"": 1, ""VB#PP#SBAR"": 1, ""VBZ#S"": 1, ""ADVP#VBN#PP"": 1, ""VB#VP"": 1, ""MD#ADVP#VP"": 1, ""VBZ#NP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""IN#ADVP#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""PRN"": {""-LRB-#CC#,#ADVP#,#NP#-RRB-"": 1}}",0.0,0.93,0.07,"{""^"": 10, ""R"": 7, ""V"": 9, ""P"": 9, ""O"": 1, ""&"": 3, "","": 8, ""N"": 4, ""D"": 2}","['{""^"": 10, ""R"": 7, ""V"": 9, ""P"": 9, ""O"": 1, ""&"": 3, "","": 8, ""N"": 4, ""D"": 2}']"
"NOTE2/ You won't find one criminal investigatornor me, as a former criminal investigatorsaying after reading Mueller's report *anything* but that Bannon and Prince both destroyed digital communications. Mueller says others did, too. Little surprise Mashburn's email is missing.",277,38,1,14,19,1,0,0,0,0,,"{""NP"": {""CD#JJ#NN"": 1, ""DT#JJ#NN"": 1, ""NNP#POS"": 1, ""NP#NN#NN#NN"": 1, ""NP#X"": 1, ""NNP#CC#NNP"": 1, ""JJ#NNS"": 1, ""NP#VP"": 1, ""NNP#NNP#NNP#POS"": 1, ""NP#NN"": 1}, ""X"": {""SYM"": 1}, ""VP"": {""VBG#NP"": 1, ""VBG#PP"": 1, ""VBD#NP"": 1, ""SBAR"": 1, ""VP#CC#VP"": 1, ""VB#NP#NP#,#PP"": 1, ""MD#RB#VP"": 1, ""VBD#,#ADVP"": 1, ""VBZ#SBAR"": 1, ""VBZ#ADJP"": 1}, ""S"": {""NP#DT#VP"": 1}, ""PP"": {""IN#S"": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""ADJP"": {""VBG"": 1}}",0.157,0.71,0.133,"{""R"": 2, ""O"": 4, ""V"": 8, ""$"": 1, ""A"": 5, ""P"": 3, "","": 7, ""D"": 1, ""N"": 7, ""Z"": 2, ""&"": 2, ""^"": 3}","['{""R"": 2, ""O"": 4, ""V"": 8, ""$"": 1, ""A"": 5, ""P"": 3, "","": 7, ""D"": 1, ""N"": 7, ""Z"": 2, ""&"": 2, ""^"": 3}']"
"NOTE/ Point of clarification: Papadopoulos sent an email to Mashburn, who was ""working closely with"" Dearborn in the policy shopand Mashburn says he believes he forwarded the email to Dearborn. There's evidence the campaign destroyed incriminating emails.",255,37,1,14,19,1,0,0,1,0,,"{""NP"": {""NP#:#NP"": 1, ""NP#VP"": 1, ""NP#,#SBAR"": 1, ""EX"": 1, ""NP#SBAR"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBD#NP#PP"": 2, ""VBZ#SBAR"": 2, ""VBN#SBAR"": 1, ""VBG#PP"": 1, ""VBD#``#VP"": 1, ""VBG#NP"": 1, ""VBD#S"": 1, ""VBZ#NP"": 1}, ""SBAR"": {""S"": 4, ""WHNP#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.082,0.918,0.0,"{""N"": 9, ""P"": 5, "","": 6, ""^"": 5, ""V"": 9, ""D"": 4, ""O"": 3, ""R"": 1, ""L"": 1}","['{""N"": 9, ""P"": 5, "","": 6, ""^"": 5, ""V"": 9, ""D"": 4, ""O"": 3, ""R"": 1, ""L"": 1}']"
"20/ That said, you don't ""trust"" Byrne's credibility, you *test* it. And two key witnesses you'd need to do that are Donald Trump Jr. and Rick Dearborn. And who are the two witnesses on *collusion* that Congress has been trying to get to? Donald Trump Jr. and Rick Dearborn. /end",279,50,1,32,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT"": 2, ""CD#JJ#NNS"": 1, ""NP#SBAR"": 1, ""NNP#NNP#NNP"": 1, ""NP#CC#NP"": 2, ""DT#CD#NNS"": 1, ""JJ#NN"": 2, ""NP#X#SBAR"": 1, ""NP#NP#."": 1}, ""VP"": {""VBZ#NP"": 1, ""``#VB#S"": 1, ""VBP#RB#VP"": 1, ""VBZ#NP#FRAG"": 1, ""VBD#SBAR"": 1, ""VB#S"": 1, ""MD#VP"": 1, ""VBP#NP"": 1, ""VB#PP"": 1, ""VBG#S"": 1, ""VBN#VP"": 1, ""VBZ#VP"": 1}, ""S"": {"",#S#,#NP#VP"": 1, ""CC#NP#VP#."": 1}, ""X"": {""SYM"": 2}, ""FRAG"": {""X#NP"": 1, ""NP#:#S#."": 1}, ""SBAR"": {""S"": 2, ""IN#S"": 1}, ""ROOT"": {""FRAG"": 1, ""SBARQ"": 1, ""NP"": 2}, ""WHNP"": {""WP"": 1}, ""PP"": {""TO"": 1}, ""SQ"": {""VBP#NP"": 1}, ""SBARQ"": {""CC#WHNP#SQ#."": 1}}",0.0,1.0,0.0,"{""$"": 3, ""O"": 6, ""V"": 10, "","": 12, ""N"": 6, ""Z"": 1, ""&"": 4, ""A"": 1, ""L"": 1, ""P"": 5, ""^"": 11, ""D"": 1, ""G"": 1}","['{""$"": 3, ""O"": 6, ""V"": 10, "","": 12, ""N"": 6, ""Z"": 1, ""&"": 4, ""A"": 1, ""L"": 1, ""P"": 5, ""^"": 11, ""D"": 1, ""G"": 1}']"
"19/ So Butina saying to Byrne, after they reconnected in October 2016, that she/Torshin met Trump Jr. for an hour at her hotel during the NRA conference in Louisville in May 2016 is consistent with all the existing evidence we have. The oddball Byrne's story seems to ""check out.""",280,49,1,26,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""NP#PRN"": 1, ""NNP#CD"": 2, ""DT#NNP#NN"": 1, ""NP#VP"": 1, ""PDT#DT#VBG#NN"": 1, ""NP#SBAR"": 1, ""DT#NNP#NNP#POS"": 1, ""NP#NN"": 1}, ""PRN"": {"":#ADVP#NP"": 1}, ""VP"": {""VBD#NP#PP#PP"": 1, ""VBD#PP#,#SBAR"": 1, ""VBG#PP#,#SBAR"": 1, ""VBP"": 1, ""VBZ#ADJP"": 1, ""VB#PRT"": 1, ""TO#``#VP"": 1, ""VBZ#S"": 1}, ""SBAR"": {""IN#S"": 2, ""S"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""PRT"": {""RP"": 1}}",0.0,1.0,0.0,"{""$"": 3, ""P"": 12, ""^"": 8, ""V"": 7, "","": 6, ""O"": 3, ""D"": 6, ""N"": 7, ""A"": 1, ""Z"": 1, ""T"": 1}","['{""$"": 3, ""P"": 12, ""^"": 8, ""V"": 7, "","": 6, ""O"": 3, ""D"": 6, ""N"": 7, ""A"": 1, ""Z"": 1, ""T"": 1}']"
"18/ As that text confirms, Torshin had a plan to access Trump's campaign at an offsite event during the conference, thinking he could get to Trump because he'd met Trump at the NRA conference in Nashville the year before. But the campaign had a practice of trotting Jr. out first.",280,50,1,29,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""NNP#POS"": 1, ""NP#NN"": 1, ""DT#JJ#NN"": 1, ""DT#NNP#NN"": 1, ""DT#NN#S"": 1, ""JJ"": 1}, ""VP"": {""VBZ"": 1, ""VBN#NP#PP"": 1, ""VBD#VP"": 1, ""VB#PP#SBAR"": 1, ""MD#VP"": 1, ""VBG#SBAR"": 1, ""VB#NP#PP#,#S"": 1, ""VBD#NP#NP#PP"": 1, ""VBG#NP#PP"": 1, ""VBD#NP"": 1}, ""S"": {""SBAR#,#NP#VP"": 1, ""CC#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 2, ""S"": 1}, ""PP"": {""IN"": 1, ""IN#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""$"": 1, ""P"": 10, ""O"": 2, ""V"": 10, "","": 4, ""^"": 6, ""D"": 7, ""N"": 9, ""Z"": 1, ""L"": 1, ""&"": 1, ""T"": 1, ""A"": 1}","['{""$"": 1, ""P"": 10, ""O"": 2, ""V"": 10, "","": 4, ""^"": 6, ""D"": 7, ""N"": 9, ""Z"": 1, ""L"": 1, ""&"": 1, ""T"": 1, ""A"": 1}']"
"17/ What we're down towith Byrneis whether Butina in fact told him she/Torshin planned to take Don Jr. from his hotel at 2PM on one of the 4 days of the May '16 NRA Conference in Louisville (Thursday, May 19 to Sunday, May 22). Now go and look at the first tweet in this thread.",278,55,1,40,18,1,0,0,0,0,,"{""NP"": {""CD"": 3, ""JJ#NNS"": 1, ""NP#PRN"": 2, ""DT#CD#NNS"": 1, ""DT#NNP#CD#NNP#NN"": 1, ""NNP#CD"": 2, ""NP#,#NP#,#NP"": 1, ""DT#JJ#NN"": 1}, ""WHNP"": {""WP"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP"": 1, ""ADVP#VP#."": 1}, ""VP"": {""VBD#S"": 2, ""VBP#PP#SBAR"": 1, ""VB#NP#PP#PP#PP"": 1, ""VB#CC#VB#PP#PP"": 1}, ""SBAR"": {""IN#S"": 1, ""WHNP#S"": 1}, ""PRN"": {"":#SBAR"": 1, ""-LRB-#NP#-RRB-"": 1}}",0.0,1.0,0.0,"{""$"": 7, ""O"": 3, ""L"": 1, ""R"": 3, ""V"": 6, ""P"": 12, ""^"": 10, ""N"": 6, ""D"": 5, "","": 7, ""&"": 1, ""A"": 1}","['{""$"": 7, ""O"": 3, ""L"": 1, ""R"": 3, ""V"": 6, ""P"": 12, ""^"": 10, ""N"": 6, ""D"": 5, "","": 7, ""&"": 1, ""A"": 1}']"
"16/ I keep saying this to people: no, Byrne doesn't ""present""in the performative senseas credible, but he gave the DOJ legitimate FBI operational details, that he's worked with the FBI before is documented, and that he had a relationship with Butina is agreed with by everyone.",277,46,1,28,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT"": 1, ""DT#NNP#NNP#NNP"": 1, ""JJ#NNS"": 1, ""DT#NNP"": 1, ""NP#,#SBAR"": 1}, ""PP"": {""IN#PP"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VBP#S"": 1, ""VBZ#ADJP"": 2, ""VBZ#RB#ADJP"": 1, ""VBN#PP#SBAR"": 1, ""VBZ#VP"": 2, ""VBN#PP"": 1, ""VBD#NP#SBAR"": 1, ""VBD#NP#NP"": 1}, ""S"": {""INTJ#,#NP#VP"": 1, ""S#:#S"": 1, ""S#,#CC#S"": 1}, ""INTJ"": {""UH"": 1}, ""ADJP"": {""JJ"": 1, ""``#JJ#``#SBAR"": 1, ""VBN"": 1}, ""SBAR"": {""IN#S"": 5, ""SBAR#,#CC#SBAR"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.035,0.908,0.057,"{""$"": 1, ""O"": 5, ""V"": 11, ""P"": 8, ""N"": 5, "","": 8, ""!"": 1, ""^"": 5, ""A"": 4, ""D"": 4, ""&"": 2, ""L"": 1}","['{""$"": 1, ""O"": 5, ""V"": 11, ""P"": 8, ""N"": 5, "","": 8, ""!"": 1, ""^"": 5, ""A"": 4, ""D"": 4, ""&"": 2, ""L"": 1}']"
"15/ Because Rick Dearborn is unclear on when Papadopoulos told him about the Kremlin having dirt on Clinton (though late April is almost certain, given Papadopoulos' craven patterns of behavior to that point) any May 2016 Trump-Russia meeting in Louisville is a blockbuster event.",280,44,1,21,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT#NNP"": 1, ""NP#VP"": 1, ""JJ#NNP"": 1, ""NNP#POS"": 1, ""NP#NN#NNS"": 1, ""DT#NNP#CD#JJ#NN"": 1, ""NP#PRN"": 1, ""DT#JJ#NN"": 1}, ""WHADVP"": {""WRB"": 1}, ""PP"": {""NP#IN#NP"": 1, ""VBN#PP"": 1, ""IN#SBAR"": 1}, ""VP"": {""VBG#NP"": 1, ""VBZ#ADJP#,#PP"": 1, ""VBD#NP#PP#PRN#NP"": 1, ""VBZ#ADJP"": 1, ""VBZ#NP"": 1}, ""ADJP"": {""RB#JJ"": 1, ""JJ#PP"": 1}, ""SBAR"": {""IN#S"": 2, ""WHADVP#S"": 1}, ""PRN"": {""-LRB-#SBAR#-RRB-"": 1, "":#SBAR"": 1}}",0.09,0.794,0.116,"{""$"": 2, ""P"": 7, ""^"": 10, ""V"": 6, ""A"": 3, ""R"": 3, ""O"": 1, ""D"": 4, ""N"": 8, "","": 5}","['{""$"": 2, ""P"": 7, ""^"": 10, ""V"": 6, ""A"": 3, ""R"": 3, ""O"": 1, ""D"": 4, ""N"": 8, "","": 5}']"
"14/ The story isn't that complicatedand is supported by all the evidence. The Kremlin used the promise of great dirt to get close to the Trump campaign; after its offer of weak dirt was rejected, it issued a replacement offer that was accepted and sealed the deal with a threat.",278,50,1,30,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""PDT#DT#NN"": 1, ""DT#NNP"": 1, ""JJ#NN"": 2, ""DT#NNP#NN"": 1, ""DT#NN#NN"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBN#PP"": 1, ""VBZ#VP"": 1, ""VBZ#RB#SBAR"": 1, ""VB#ADVP"": 1, ""VBD#NP#S"": 1, ""VBN"": 1, ""VBD#VP"": 2, ""VBN#CC#VBN#NP"": 1, ""VBD#NP"": 1}, ""S"": {""SBAR#,#NP#VP"": 1, ""S#:#S#."": 1}, ""SBAR"": {""IN#S"": 2, ""WHNP#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""ADVP"": {""RB#PP"": 1}, ""WHNP"": {""WDT"": 1}}",0.224,0.607,0.168,"{""$"": 1, ""D"": 9, ""N"": 11, ""V"": 12, ""O"": 2, ""P"": 8, "","": 4, ""^"": 2, ""A"": 3, ""L"": 1, ""&"": 1}","['{""$"": 1, ""D"": 9, ""N"": 11, ""V"": 12, ""O"": 2, ""P"": 8, "","": 4, ""^"": 2, ""A"": 3, ""L"": 1, ""&"": 1}']"
"13/ The offer made two months later by Naderwho'd been negotiating with the Kremlin on behalf of the UAEwas supposed to make up for it. And then, in October, per the Mueller Report, the Trump campaign got a hard reminder from the Kremlin that it *did* have blackmail on *Trump*.",278,50,1,30,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""CD#NNS"": 1, ""NP#VP"": 2, ""DT#NNP"": 2, ""DT#NNPS"": 1, ""DT#NNP#NNP"": 1, ""NP#,#PP"": 1, ""DT#NNP#NN"": 1, ""DT#JJ#NN"": 1, ""NP#X"": 1}, ""ADVP"": {""NP#RBR"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""VP"": {""VBN#PP"": 2, ""VB#PRT#PP"": 1, ""VBN#S"": 1, ""VBG#PP#PP"": 1, ""VBN#VP"": 1, ""VBD#VP"": 1, ""VB#VP"": 1, ""VBD#X#S"": 1, ""VBD#NP#PP#SBAR"": 1}, ""PRT"": {""RP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""CC#ADVP#,#PP#,#NP#VP#."": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""X"": {""SYM"": 2}, ""SBAR"": {""IN#S"": 1}}",0.028,0.972,0.0,"{""$"": 2, ""D"": 7, ""N"": 7, ""V"": 7, ""R"": 2, ""P"": 11, ""^"": 8, ""A"": 2, ""T"": 1, ""O"": 2, "","": 9, ""&"": 1}","['{""$"": 2, ""D"": 7, ""N"": 7, ""V"": 7, ""R"": 2, ""P"": 11, ""^"": 8, ""A"": 2, ""T"": 1, ""O"": 2, "","": 9, ""&"": 1}']"
"12/ If you agree with Trump and Trump Jr. that the Ziff Brothers ""dirt"" was weak sauce, you also agree with Chris Steele, whose dossier correctly said the Kremlin didn't actually have much on Clinton. But from the Kremlin's perspective, it at least tried to get Trump *something*.",280,48,1,26,18,1,0,0,0,0,,"{""NP"": {""CD#NNS"": 1, ""NNP#CC#NNP#NNP"": 1, ""DT#NNP#NNPS"": 1, ""NP#``#NP"": 1, ""JJ#NN"": 1, ""DT#NNP"": 1, ""RB"": 1, ""NP#,#SBAR"": 1, ""DT#NNP#POS"": 1, ""NP#NN"": 1, ""NP#NP"": 1, ""NP#X"": 1}, ""VP"": {""VBD#NP"": 1, ""VBP#PP#SBAR"": 1, ""VBD#RB#ADVP#VP"": 1, ""VBD#SBAR"": 1, ""VBP#PP"": 1, ""VBD#S"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""SBAR#,#NP#ADVP#VP#."": 1, ""CC#PP#,#NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""NP#IN#S"": 1, ""S"": 1, ""WP$#S"": 1}, ""ADVP"": {""IN#JJS"": 1}, ""X"": {""SYM"": 1}}",0.039,0.892,0.069,"{""$"": 1, ""P"": 8, ""O"": 3, ""V"": 8, ""^"": 10, ""&"": 2, ""D"": 3, "","": 9, ""N"": 5, ""A"": 3, ""R"": 3, ""L"": 1, ""Z"": 1}","['{""$"": 1, ""P"": 8, ""O"": 3, ""V"": 8, ""^"": 10, ""&"": 2, ""D"": 3, "","": 9, ""N"": 5, ""A"": 3, ""R"": 3, ""L"": 1, ""Z"": 1}']"
"11/ Why didn't Don Jr. get the ""dirt"" the Kremlin kept dangling? Well, there are 2 answers, depending on how you look at it: (1) he did; (2) there wasn't any. The Kremlin believed what it gave Trump Jr. in June 2016 was good dirt on Hillary and the Ziff Brothers; Trump disagreed.",280,53,1,36,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT#``#NN"": 1, ""DT#NNP"": 2, ""NP#SBAR"": 1, ""EX"": 2, ""CD#NNS"": 1, ""DT"": 1, ""NNP#CD"": 1, ""JJ#NN"": 1, ""DT#NNP#NNPS"": 1, ""NP#CC#NP"": 1}, ""ADVP"": {""NP#RB"": 1}, ""WHADVP"": {""ADVP#WRB"": 1, ""WRB"": 1}, ""VP"": {""VBG"": 1, ""VBD#S"": 1, ""VBP#PP"": 1, ""VBP#NP#,#PP"": 1, ""VBD"": 2, ""VBD#RB#NP"": 1, ""VBD#NP"": 1, ""VBD#SBAR"": 2}, ""S"": {""INTJ#,#NP#VP"": 1, ""LST#NP#VP"": 2, ""S#:#S#:#S#."": 1, ""S#:#S#."": 1}, ""SBAR"": {""S"": 2, ""WHADVP#S"": 1, ""WHNP#S"": 1}, ""SQ"": {""VBD#RB#NP#VP"": 1}, ""SBARQ"": {""WHADVP#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}, ""INTJ"": {""UH"": 1}, ""PP"": {""IN#SBAR"": 1, ""VBG#PP"": 1}, ""LST"": {""-LRB-#LS#-RRB-"": 2}, ""WHNP"": {""WP"": 1}}",0.081,0.832,0.087,"{""$"": 4, ""R"": 2, ""V"": 14, ""^"": 11, ""D"": 5, "","": 14, ""N"": 2, ""!"": 1, ""X"": 2, ""P"": 5, ""O"": 5, ""A"": 1, ""&"": 1}","['{""$"": 4, ""R"": 2, ""V"": 14, ""^"": 11, ""D"": 5, "","": 14, ""N"": 2, ""!"": 1, ""X"": 2, ""P"": 5, ""O"": 5, ""A"": 1, ""&"": 1}']"
"10/ There are complex parts of the Trump-Russia timeline; this isn't one of them. The Kremlin told Papadopoulos it had dirt; Papadopoulos told the campaign; Trump repeatedly trotted out his son to get that dirt; Trump Jr. agreed to a UAE-funded Israeli psy-ops campaign, instead.",279,45,1,22,18,1,0,0,0,0,,"{""NP"": {""CD"": 2, ""EX"": 1, ""JJ#NNS"": 1, ""DT#JJ#NN"": 1, ""DT"": 1, ""NP#:#S"": 1, ""DT#NNP"": 1, ""NP#SBAR"": 1, ""PRP$#NN#S"": 1, ""DT#JJ#JJ#NNS#NN"": 1}, ""VP"": {""VBZ#RB#NP"": 1, ""VBP#NP"": 1, ""VBD#NP"": 3, ""VBD#PRT#NP"": 1, ""VBD#PP#,#ADVP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""S#:#S#:#S#:#S#."": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""SBAR"": {""S"": 1}, ""PRT"": {""RP"": 1}}",0.1,0.856,0.044,"{""$"": 2, ""X"": 1, ""V"": 8, ""A"": 3, ""N"": 7, ""P"": 4, ""D"": 6, ""^"": 8, "","": 7, ""O"": 3, ""R"": 2, ""T"": 1}","['{""$"": 2, ""X"": 1, ""V"": 8, ""A"": 3, ""N"": 7, ""P"": 4, ""D"": 6, ""^"": 8, "","": 7, ""O"": 3, ""R"": 2, ""T"": 1}']"
"9/ In view of all that, note that two witnesses Congress has been trying to get to recently are Don Jr. and Dearborn. Think they don't have the same info an author of two books on Trump-Russia does? They do. They know Don Jr. took on tasks his dad wouldn't trust anyone else with.",280,54,1,37,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""PDT#DT"": 1, ""CD#NNS"": 2, ""NP#NP"": 1, ""RB"": 1, ""NP#SBAR"": 3, ""NNP#NNP#CC#NNP"": 1, ""DT#JJ#NN"": 1, ""NN#RB"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VB#PP"": 1, ""VBG#S"": 1, ""VBN#VP"": 1, ""VBZ#VP"": 1, ""VBP#NP"": 1, ""VBZ"": 1, ""VBP#RB#VP"": 1, ""VB#SBAR"": 1, ""VBP"": 1, ""VB#NP#PP"": 1, ""MD#RB#VP"": 1, ""VBD#PP"": 1, ""VBP#SBAR"": 1}, ""S"": {""PP#,#NP#VP"": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 4}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1, ""SQ"": 1}, ""SQ"": {""VP#."": 1}}",0.049,0.951,0.0,"{""$"": 3, ""P"": 9, ""N"": 9, ""D"": 4, ""O"": 4, "","": 5, ""^"": 7, ""V"": 14, ""R"": 2, ""&"": 1, ""A"": 1}","['{""$"": 3, ""P"": 9, ""N"": 9, ""D"": 4, ""O"": 4, "","": 5, ""^"": 7, ""V"": 14, ""R"": 2, ""&"": 1, ""A"": 1}']"
"8/ Trump Jr. lied about there being no follow-up on Clinton ""dirt."" He was the point manacross three meetings, one in Louisville and two in NYCin getting foreign aid. In August, Naderwho'd been talking to the Kremlinand Zamel, who'd worked for Russian oligarchs, saw Trump Jr.",276,46,1,21,18,1,0,0,0,0,,"{""NP"": {""CD"": 3, ""EX"": 1, ""NP#PRN#``"": 1, ""DT#NN#NNS"": 1, ""CD#NNS"": 1, ""NP#,#NP#CC#NP"": 1, ""JJ#NN"": 1, ""DT#NNP#NNP"": 1, ""JJ#NNS"": 1, ""NP#,#SBAR"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP"": 2, ""VBD#PP"": 1, ""VBZ"": 1, ""NP#NP#S"": 1, ""VBD#VP"": 3, ""VBN#PP"": 1, ""VBG#PP"": 1, ""VBN#VP"": 1, ""VBD"": 1}, ""S"": {""PP#,#NP#VP"": 1}, ""PRN"": {"":#S"": 1}, ""ROOT"": {""SINV"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""SINV"": {""S#,#VP#NP#."": 1}}",0.098,0.902,0.0,"{""E"": 1, ""^"": 11, ""V"": 8, ""P"": 7, ""X"": 1, ""D"": 3, ""N"": 7, "","": 8, ""O"": 1, ""$"": 3, ""&"": 1, ""A"": 2, ""L"": 1}","['{""E"": 1, ""^"": 11, ""V"": 8, ""P"": 7, ""X"": 1, ""D"": 3, ""N"": 7, "","": 8, ""O"": 1, ""$"": 3, ""&"": 1, ""A"": 2, ""L"": 1}']"
"7/ In June 2016, the dirt doesn't come. But Trump Jr. remains the point man for contacts with foreign nationals, as he's not on the campaign and won't be in the administrationtherefore won't have to fill out an SF-86 form. In August, Kremlin allies see Trump Jr. at Trump Tower.",278,50,1,29,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""NNP#CD"": 1, ""DT#NN#NN"": 2, ""JJ#NNS"": 1, ""NP#SBAR"": 1, ""NNP#NNS"": 1}, ""VP"": {""VB"": 1, ""VBZ#RB#VP"": 1, ""VBZ#RB#PP"": 1, ""VB#PRT#NP"": 1, ""VB#S"": 1, ""MD#RB#VP"": 2, ""VB#PP"": 1, ""VP#CC#VP"": 1, ""VBZ#NP#,#SBAR"": 1, ""VBP#NP"": 1}, ""S"": {""PP#,#NP#VP"": 1, ""CC#NP#VP#."": 1, ""PP#,#NP#VP#."": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""PRT"": {""RP"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}}",0.034,0.966,0.0,"{""$"": 2, ""P"": 9, ""^"": 10, "","": 6, ""D"": 5, ""N"": 9, ""V"": 9, ""&"": 2, ""A"": 1, ""L"": 1, ""R"": 1, ""T"": 1}","['{""$"": 2, ""P"": 9, ""^"": 10, "","": 6, ""D"": 5, ""N"": 9, ""V"": 9, ""&"": 2, ""A"": 1, ""L"": 1, ""R"": 1, ""T"": 1}']"
